shop_key,day,start,end
the-coffee-bean-and-tea-leaf,4,7:00,22:00
the-coffee-bean-and-tea-leaf,5,7:00,22:00
the-coffee-bean-and-tea-leaf,6,7:00,22:00
tokado-coffee,0,11:00,18:00
tokado-coffee,1,11:00,18:00
tokado-coffee,2,11:00,18:00
tokado-coffee,3,11:00,18:00
tokado-coffee,4,11:00,18:00
tokado-coffee,5,11:00,18:00
tokado-coffee,6,11:00,18:00
tokado-coffee-nakasukawabata,0,10:30,19:30
tokado-coffee-nakasukawabata,1,10:30,19:30
tokado-coffee-nakasukawabata,2,10:30,19:30
tokado-coffee-nakasukawabata,3,10:30,19:30
tokado-coffee-nakasukawabata,4,10:30,19:30
tokado-coffee-nakasukawabata,5,10:30,19:30
tokado-coffee-nakasukawabata,6,10:30,19:30
torse,0,12:00,21:00
torse,1,12:00,22:00
torse,2,12:00,22:00
torse,3,12:00,22:00
torse,4,12:00,15:30
torse,4,17:30,22:00
torse,5,12:00,22:00
torse,6,12:00,22:00
verve-coffee-roasters-shinjuku,0,7:00,21:30
verve-coffee-roasters-shinjuku,1,7:00,22:00
verve-coffee-roasters-shinjuku,2,7:00,22:00
verve-coffee-roasters-shinjuku,3,7:00,22:00
verve-coffee-roasters-shinjuku,4,7:00,22:00
verve-coffee-roasters-shinjuku,5,7:00,22:00
verve-coffee-roasters-shinjuku,6,7:00,21:30
your-daily-coffee,0,9:00,19:00
your-daily-coffee,2,9:00,18:00
your-daily-coffee,3,9:00,18:00
your-daily-coffee,4,9:00,18:00
your-daily-coffee,5,9:00,18:00
your-daily-coffee,6,9:00,19:00
