shop_key,locale,name,address,hours_note,_lng,_lat,_address_en
sarutahiko-coffee,ja_JP,猿田彦珈琲 恵比寿本店,東京都渋谷区恵比寿1-6-6,,,,
sarutahiko-coffee,en_US,SARUTAHIKO COFFEE Ebisu,"1-6-6 Ebisu, Shibuya-ku, Tokyo",,,,
sarutahiko-coffee,en_UK,SARUTAHIKO COFFEE Ebisu,"1-6-6 Ebisu, Shibuya-ku, Tokyo",,,,
sols-coffee-roastery,ja_JP,ソルズコーヒー ロースタリー,東京都台東区浅草橋3-25-7,,,,
sols-coffee-roastery,en_US,SOL'S COFFEE ROASTERY,"3-25-7 Asakusabashi, Taito-ku, Tokyo",,,,
sols-coffee-roastery,en_UK,SOL'S COFFEE ROASTERY,"3-25-7 Asakusabashi, Taito-ku, Tokyo",,,,
the-coffee-bean-and-tea-leaf,ja_JP,コーヒービーン＆ティーリーフ,東京都中央区日本橋1丁目3番13号　東京建物日本橋ビル1F,祝日 8:00 - 21:00,,,
the-coffee-bean-and-tea-leaf,en_US,The Coffee Bean & Tea Leaf,"Tokyo Tatemono Nihombashi Building 1F, 1-3-13, Nihombashi, Chuo-ku, Tokyo",Holiday 8:00 - 21:00,,,
the-coffee-bean-and-tea-leaf,en_UK,The Coffee Bean & Tea Leaf,"Tokyo Tatemono Nihombashi Building 1F, 1-3-13, Nihombashi, Chuo-ku, Tokyo",Holiday 8:00 - 21:00,,,
tokado-coffee,ja_JP,豆香洞コーヒー,福岡県大野城市白木原3-3-1,,,,
tokado-coffee,en_US,Tokado Coffee,"3-3-1, Shirakibaru, Onojo-shi, Fukuoka",,,,
tokado-coffee,en_UK,Tokado Coffee,"3-3-1, Shirakibaru, Onojo-shi, Fukuoka",,,,
tokado-coffee-nakasukawabata,ja_JP,豆香洞コーヒー,福岡県福岡市博多区下川端町3-1 博多リバレインモールB2F,,,,
tokado-coffee-nakasukawabata,en_US,Tokado Coffee,"Hakata Riverain B2F, 3-1, Shimokawabatamachi, Hakata-ku, Fukuoka-shi, Fukuoka",,,,
tokado-coffee-nakasukawabata,en_UK,Tokado Coffee,"Hakata Riverain B2F, 3-1, Shimokawabatamachi, Hakata-ku, Fukuoka-shi, Fukuoka",,,,
torse,ja_JP,トルス,東京都世田谷区下馬5-35-5,,,,
torse,en_US,torse,"5-35-5 Shimouma, Setagaya-ku, Tokyo",,,,
torse,en_UK,torse,"5-35-5 Shimouma, Setagaya-ku, Tokyo",,,,
verve-coffee-roasters-shinjuku,ja_JP,VERVE COFFEE ROASTERS 新宿,東京都渋谷区千駄ヶ谷5-24-55 NEWoMan SHINJUKU 2F,,,,
verve-coffee-roasters-shinjuku,en_US,VERVE COFFEE ROASTERS SHINJUKU,"NEWoMan SHINJUKU 2F, 5-24-55 Sendagaya, Shibuya-ku, Tokyo",,,,
verve-coffee-roasters-shinjuku,en_UK,VERVE COFFEE ROASTERS SHINJUKU,"NEWoMan SHINJUKU 2F, 5-24-55 Sendagaya, Shibuya-ku, Tokyo",,,,
your-daily-coffee,ja_JP,YOUR DAILY/COFFEE,東京都世田谷区世田谷2-14-3 TKビル1階,祝日 9:00 - 19:00,,,
your-daily-coffee,en_US,YOUR DAILY/COFFEE,"TK Building 1F, 2-14-3 Setagaya, Setagaya-ku, Tokyo",Holiday 9:00 - 19:00,,,
your-daily-coffee,en_UK,YOUR DAILY/COFFEE,"TK Building 1F, 2-14-3 Setagaya, Setagaya-ku, Tokyo",Holiday 9:00 - 19:00,,,
